"FishNb","ExpID","ExpLength","Fps","BL1","BL2","BL3","BL4","BL5","BL6","BL7","BL8","BL9","BL10"
1,"exp01H20141128_14h10",76.5473333333333,50,36.71795,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"exp01H20141202_15h00",59.6066666666667,50,33.23862,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"exp01H20141202_16h35",58.716,50,34.27773,NA,NA,NA,NA,NA,NA,NA,NA,NA
1,"exp01H20141205_16h11",65.4593333333333,50,28.09642,NA,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141127_14h13",69.28,50,37.33166,36.10571,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141127_16h29",63.6593333333333,50,32.7632,27.80527,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141128_16h06",77.4513333333333,50,29.03267,32.58696,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141204_16h01",57.315,50,37.10758,35.24364,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141204_17h28",69.2753333333333,50,29.58718,29.81598,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141205_16h11",86.5776666666667,50,38.08582,39.08639,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141205_17h37",54.3853333333333,50,28.49483,33.13498,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141211_11h11",53.21,50,35.18351,33.81006,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141212_15h45",54.6193333333333,50,32.13616,30.69801,NA,NA,NA,NA,NA,NA,NA,NA
2,"exp02H20141212_17h12",66.0513333333333,50,32.22386,35.51345,NA,NA,NA,NA,NA,NA,NA,NA
4,"exp04H20150827_12h19",67.4513333333333,50,25.65491,36.66947,32.5802,39.30925,NA,NA,NA,NA,NA,NA
4,"exp04H20150829_11h49",69.1233333333333,50,37.96331,38.60685,32.07774,37.98987,NA,NA,NA,NA,NA,NA
4,"exp04H20150829_13h18",64.3233333333333,50,40.07886,31.74623,40.68187,34.70698,NA,NA,NA,NA,NA,NA
4,"exp04H20150830_14h48",68.1873333333333,50,38.27888,35.14045,32.15435,38.61877,NA,NA,NA,NA,NA,NA
4,"exp04H20150831_11h29",70.0333333333333,50,31.66923,40.51449,25.37519,32.84567,NA,NA,NA,NA,NA,NA
